==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I1123 05:41:22.733284       1 controllermanager.go:593] Started "replicationcontroller"
I1123 05:41:22.733362       1 replica_set.go:205] Starting replicationcontroller controller
I1123 05:41:22.733375       1 shared_informer.go:255] Waiting for caches to sync for ReplicationController
I1123 05:41:22.883100       1 controllermanager.go:593] Started "tokencleaner"
I1123 05:41:22.883183       1 tokencleaner.go:118] Starting token cleaner controller
I1123 05:41:22.883196       1 shared_informer.go:255] Waiting for caches to sync for token_cleaner
I1123 05:41:22.883215       1 shared_informer.go:262] Caches are synced for token_cleaner
I1123 05:41:23.033896       1 controllermanager.go:593] Started "persistentvolume-expander"
I1123 05:41:23.033995       1 expand_controller.go:341] Starting expand controller
I1123 05:41:23.034021       1 shared_informer.go:255] Waiting for caches to sync for expand
I1123 05:41:23.182413       1 controllermanager.go:593] Started "podgc"
I1123 05:41:23.182519       1 gc_controller.go:92] Starting GC controller
I1123 05:41:23.182534       1 shared_informer.go:255] Waiting for caches to sync for GC
I1123 05:41:23.334162       1 controllermanager.go:593] Started "replicaset"
I1123 05:41:23.334258       1 replica_set.go:205] Starting replicaset controller
I1123 05:41:23.334298       1 shared_informer.go:255] Waiting for caches to sync for ReplicaSet
I1123 05:41:23.483423       1 node_ipam_controller.go:91] Sending events to api server.
I1123 05:41:33.512294       1 range_allocator.go:83] Sending events to api server.
I1123 05:41:33.512524       1 range_allocator.go:117] No Secondary Service CIDR provided. Skipping filtering out secondary service addresses.
I1123 05:41:33.512593       1 controllermanager.go:593] Started "nodeipam"
I1123 05:41:33.512707       1 node_ipam_controller.go:154] Starting ipam controller
I1123 05:41:33.512741       1 shared_informer.go:255] Waiting for caches to sync for node
I1123 05:41:33.522597       1 controllermanager.go:593] Started "attachdetach"
I1123 05:41:33.522723       1 attach_detach_controller.go:328] Starting attach detach controller
I1123 05:41:33.522755       1 shared_informer.go:255] Waiting for caches to sync for attach detach
I1123 05:41:33.532074       1 controllermanager.go:593] Started "pv-protection"
I1123 05:41:33.532153       1 pv_protection_controller.go:79] Starting PV protection controller
I1123 05:41:33.532173       1 shared_informer.go:255] Waiting for caches to sync for PV protection
I1123 05:41:33.551443       1 controllermanager.go:593] Started "horizontalpodautoscaling"
I1123 05:41:33.551599       1 horizontal.go:168] Starting HPA controller
I1123 05:41:33.551630       1 shared_informer.go:255] Waiting for caches to sync for HPA
I1123 05:41:33.561021       1 controllermanager.go:593] Started "csrapproving"
I1123 05:41:33.561120       1 certificate_controller.go:119] Starting certificate controller "csrapproving"
I1123 05:41:33.561156       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrapproving
I1123 05:41:33.564165       1 controllermanager.go:593] Started "csrcleaner"
I1123 05:41:33.564274       1 cleaner.go:82] Starting CSR cleaner controller
I1123 05:41:33.574086       1 controllermanager.go:593] Started "persistentvolume-binder"
I1123 05:41:33.574186       1 pv_controller_base.go:311] Starting persistent volume controller
I1123 05:41:33.574210       1 shared_informer.go:255] Waiting for caches to sync for persistent volume
I1123 05:41:33.577468       1 node_lifecycle_controller.go:77] Sending events to api server
E1123 05:41:33.577546       1 core.go:211] failed to start cloud node lifecycle controller: no cloud provider provided
W1123 05:41:33.577575       1 controllermanager.go:571] Skipping "cloud-node-lifecycle"
I1123 05:41:33.586337       1 controllermanager.go:593] Started "clusterrole-aggregation"
