NAMESPACE     NAME                     TYPE           CLUSTER-IP      EXTERNAL-IP    PORT(S)                         AGE
default       kubernetes               ClusterIP      10.96.0.1       <none>         443/TCP                         20m
kube-system   exposed-kube-dns         LoadBalancer   10.96.223.209   172.18.129.0   53:31976/TCP                    16m
kube-system   kube-dns                 ClusterIP      10.96.0.10      <none>         53/UDP,53/TCP,9153/TCP          20m
nsm-system    admission-webhook-svc    ClusterIP      10.96.179.155   <none>         443/TCP                         13m
nsm-system    nsmgr-proxy              LoadBalancer   10.96.201.148   172.18.129.2   5004:32027/TCP                  13m
nsm-system    registry                 LoadBalancer   10.96.229.113   172.18.129.3   5002:31652/TCP                  13m
nsm-system    registry-proxy           ClusterIP      10.96.64.6      <none>         5005/TCP                        13m
spire         k8s-workload-registrar   ClusterIP      10.96.118.139   <none>         443/TCP                         16m
spire         spire-server             LoadBalancer   10.96.121.232   172.18.129.1   8081:32097/TCP,8443:31549/TCP   16m
