==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-2fdcj ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:45348->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:47564->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:49934->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:51988->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:53094->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:54166->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:54372->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:55482->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54306->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54310->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54462->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54558->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54556->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54898->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54900->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:54962->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:54964->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:55318->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:55408->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:55406->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:55826->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:56878->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:56876->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:57796->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:57932->172.18.0.1:53: i/o timeout
